filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,ctxr3_converted,non_upscaled_version
00002016,d47ff9b153d4ab8e08ce70d3b603c97989156238,8de5a9a202cd150695cb751ec8d4b9024ac1a44c,true,ps2 textures\HAS ALPHA,false,true,2,remarci_4x,false,0
000062b9,4097e73c30a1cbf2f18480d587905e7f0ee12f25,60209af8ffcb7a8a1a957ad5253366981f03b3a5,true,mc textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
00006739,b787d5ea0f1e6adfcbc4b79860071a36c509ec17,24f5956b3a07879b86efe341c1b3f1586dd65383,true,mc textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
0016cb7f,08f2991aee2422f823d84431c13d9d94fec76b3e,60a3d1876d576352084371d21c8b533e57ebcec0,true,mc textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
00180189,75a9fc2e23807fcc5ba4bf52ba722e745b5dfe05,067568c1a9f5093e8d228a4dcd4af0787e76fad3,true,mc textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
002e7dff,e37a721a2862e475ed2d9b31c1d6f71c4e150a2d,27d37a3a276b2af9eae5a18df02e1718b604aee4,true,mc textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
00304bdd,2ceaab65fdeadf0d39ad46e000229e9433ca4019,63ab7e5ae5d7f3ad6659b25b1bc1e24c9bcded80,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
00314bdb,ac22416ccda33b9ac47ef29e422dae6c19afe0f9,c897c4745586d96ebebdd57dd39a10cbd16415c8,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
003f0404,95a16ab5a5d5fdec8c71dffb84cebd4ee0337fe6,503ffa06cd3e24c34fc0088c91b7bc115c91a391,true,mc textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
004b2a01,a6b9fcbcd019da4b782ef15a2e8aa54ad1886c5e,b2a35131142f27fa2d61ae8de5a0792f32b1930b,true,mc textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
0050bfc5,901e40c18c971cb9c19762a7a1d1e66f11795c38,b33ecc708335427746b9b1eb9aad04ecbeae21e2,true,mc textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
0051a133,6ea3ef9b9433209eb5c7867110a611062a3a863a,6a1491243dc753266efb1a0e9abd8511c51d99ef,true,ps2 textures\tri with alpha\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
0055b270,2f015de4d090fb1801389f1124a89c44ba448d23,9759e0a44031a7023eb436a129928d6a80577825,true,mc textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
006262b9,6dfb15dbe5a05135d15162275565125c48f62173,d7798d02227ed1639862c9635dca7a7b9826ad61,true,mc textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
00626739,db8f595cfb2742e4c0eeac10f52e3789ea44092b,beaac2bc805cf1e7a433669bf37449ea3a2c143a,true,mc textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
0065a618,88d296495a825d386aef213e8bce704d3ed348a6,74fd94e82be88f3f11c36b5d084f56fe43927b5b,true,mc textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
006c9021,0aec2f0c8d91a6b154328adfd59d3e05897b7bc6,a9692abb3354cdd9e03f0faa6584b288f6caadbf,true,mc textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
007155d8,e8ff4cc65b2d90aef126f460bb2d52d40fa3c637,6bb7c912223e50b984d68bac4c80013a2e771d55,true,ps2 textures\tri with alpha\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
007a0189,54ac3863d13398f2a9cdb8e60b1f7a2c6575c739,b5a4c91b6b903feec1218b6ac7bff46880507f22,true,mc textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
0086a618,27c7db312e76994253274c9b10b3a49beaa65248,2a78fbc1fac14d537bfa54e59215330a8a61e60f,true,mc textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
008ba618,a267072db35f051ab56369279915d513c7376e79,a3a1f9f47eeb8caca6f291c9adf1690406db2620,true,ps2 textures\HAS ALPHA\power of two,false,true,2,remarci_4x,false,0
0094b3c7,b21cb9d4a7cf3a5d6bef498c24e362687c7f6164,61a1a128f0dae3c10018b7d0170837eb6e35a129,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
009720e7,d60d845e98a37283500cc7b2ff10e414a6952233,052ee99c40705dcdd653fe93ce778621d7275cb5,true,mc textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
009fbc16,af6442b49db0b7822124773a436871a72b4ec3fb,a06b351cfe384fbff3b01463397e74a6f6c993fa,true,mc textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
00b7b270,c2e90db274717502ff5ef72b84e915a5ce1b24d5,00124cf1d457ff74fd31e2104cde2b9302d9922f,true,mc textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
00b8cb7a,11318428a5850b0b13b544c74b1e7f7c1104f82c,dc496083f21bdb6b7c62b31ac864b697aa6c1d31,true,mc textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
00e103ff,94e4b67fb79145b0030c4e7146a25bbd92ab224f,3fa4f15feabaa759d3ca90db1dcbe9d4df3237b6,true,mc textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
00ed29fc,361352f5e8bbbac0036708fdbfaa1e86a2173856,09c707346ad6c74d127a749f2e127bb959b5d18e,true,mc textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
00edb9fc,b4f937e5c9fe27b59c8cf9ac7e562ed9072661d3,d24b128b84065bd16b02fe1c9e8155fd7bacce75,true,mc textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
00eebfc4,86537dfe3d4ec33af21e81e9f4931bc0174dad30,1eaa82b48c38cf2cec34298455e050a9cbec607d,true,mc textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
00f520eb,7643650cdbe28edb48a8af91ace5f50c59f7008d,418aa86154579f26755bbfd15c86a56c07c549e7,true,mc textures\HAS ALPHA\bp_remade,false,true,2,remarci_4x,false,0
00f7f08f,38edbccf7995e6c87b603032b0bfce96de5498bf,ab4f0fddf431f9238792c906ddc6f8f6b17696c3,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
00f8f08f,9d7c7ae061e51104c164556c66afa7bcaa33f947,4a78a84c273b5136f034f4e7f81062128cf8e9e9,true,ps2 textures\HAS ALPHA\no_mip_fixes\ui,false,true,2,remarci_4x,false,0
00fa15d7,319b1dd227876522c95d5dc24c1dfa5ca3843822,ed4b865a0dec7da7f67327b3f140ed3424ddf86b,true,mc textures\tri with alpha\bp_remade,false,true,2,remarci_4x,false,0
0wall1_2.bmp,d01d99edb43fca841b4b4777740d9891851994ed,f960634d59e4c13798f334f7a4ced4d45cfde3a8,true,mc textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
0wall1_60s.bmp,1e195ade45711dae10bfaf5e831da5a82a1d672a,1cbd1e569e3c38411d1c5080b60d389d5622a0d3,true,mc textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
0wall1_60s2.bmp,cc93446ae20e2823d2a66ae29147d963ac8dbbb2,73eb199b278b842908a0cc8b6ca0f580195db9a1,true,ps2 textures\OPAQUE,true,true,2,remarci_4x,false,0
0wall1mi.bmp,8224a892006a321a0a81bd3000676627eeed8c28,2a6b3a4ae524cb6177a6277d07223534970ea0ab,true,mc textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
0wall1mi2.bmp,a4c6fd31b2d32ffa9927684d8bf95f4acc368f79,d6f8b7fdb4fe17d726fd9281dde443ad67d6b3d7,true,mc textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
0wall1sita.bmp,11c11578c10c8fa8599103482040be94d691b386,0f0af4956848158a3e259255f43124ebb40e8d5c,true,mc textures\opaque\bp_remade,true,true,2,remarci_4x,false,0
